ImageNumber,Drug,Time,ID,Pathology,ScanFreq,Run,Label,Stain,Center_X,Center_Y,Lifetime
13,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,153.5,398,13
14,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,153.2962962962963,398,14
15,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,152.53571428571428,398.57142857142856,15
16,ATG,24hr,3241,Thrombosis,10.26,1,27,mLy6G,151.7391304347826,399.30434782608694,16
1,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,146.29032258064515,376.80645161290323,1
2,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,146,376.7857142857143,2
3,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.32258064516128,377.80645161290323,3
4,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,144.84375,377.71875,4
5,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,144.85714285714286,377.4642857142857,5
6,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.8148148148148,376.77777777777777,6
7,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.9655172413793,376.62068965517244,7
8,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.6206896551724,376.9310344827586,8
9,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.59259259259258,377.4074074074074,9
10,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.83333333333334,377.5333333333333,10
11,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.42857142857142,377.7142857142857,11
12,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.5,377.5,12
13,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.8695652173913,378.0869565217391,13
14,ATG,24hr,3241,Thrombosis,10.26,1,29,mLy6G,145.92857142857142,378.1071428571429,14
